group7136-2, hypothetical protein
group17582, Acyl-CoA dehydrogenase type 2 domain protein
group17583, FAD dependent oxidoreductase
group17588, hypothetical protein
group17589, nitrilotriacetate monooxygenase component A
group16675, hypothetical protein
group16674, ferric uptake regulator%2C Fur family
group16677, Monosaccharide-transporting ATPase
group16676, inner-membrane translocator
group16671, hydrolase
group16670, Gluconolactonase
group16673, glucose dehydrogenase
group16672, hypothetical protein
group16679, SMP-30/Gluconolaconase/LRE domain protein
group16678, gluconate 5-dehydrogenase
group13009, hypothetical protein
group13008, hypothetical protein
group13005, hypothetical protein
group13004, hypothetical protein
group13007, hypothetical protein
group13006, hypothetical protein
group13001, hypothetical protein
group13000, hypothetical protein
group13003, hypothetical protein
group13002, hypothetical protein
group3939-2, ACS59127.1 acyltransferase 3 (plasmid) [Rhizobium leguminosarum bv. trifolii]
group5771-3, P-type conjugative transfer protein TrbJ
group5771-2, P-type conjugative transfer protein TrbJ
group9956, Integrase catalytic region
group13707-2, hypothetical protein
group12352, hypothetical protein
group12353, hypothetical protein
group12350, hypothetical protein
group12351, hypothetical protein
group12356, hypothetical protein
group12357, hypothetical protein
group12354, hypothetical protein
group12355, hypothetical protein
group12358, hypothetical protein
group12359, hypothetical protein
group7806-2, binding-protein-dependent transport systems inner membrane component
group13913, hypothetical protein
group13912, hypothetical protein
group13911, hypothetical protein
group13910, Adenylyl-sulfate kinase
group13917, Putative FAD-dependent oxidoreductase LodB
group13916, hypothetical protein
group13915, hypothetical protein
group8038, hypothetical protein
group13919, Multicopper oxidase mco
group13918, hypothetical protein
group1780, Deoxyribodipyrimidine photo-lyase
group1781, hypothetical protein
group5001, histidine kinase
group1783, glycerol-3-phosphatase
group5007, plasmid stabilization system
group1785, nitrite reductase (NAD(P)H)%2C small subunit
group1786, nitrite reductase (NAD(P)H)%2C large subunit
group1787, major facilitator superfamily MFS_1
group8534, stress responsive protein
group8535, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group8536, YCII-related protein
group8537, Maleylacetate reductase
group8530, short-chain dehydrogenase
group8531, hypothetical protein
group8532, hypothetical protein
group8533, methyl-accepting chemotaxis sensory transducer
group8538, short-chain dehydrogenase/reductase SDR
group8539, short-chain dehydrogenase
group10516-2, ATP-dependent metalloprotease FtsH
group19177-2, hypothetical protein
group15515, hypothetical protein
group15514, hypothetical protein
group15517, putative membrane protein of unknown function
group15516, putative membrane protein of unknown function
group15511, hypothetical protein
group15510, hypothetical protein
group15513, aminotransferase class V
group15512, hypothetical protein
group15519, Protease PrtS
group15518, sodium/hydrogen exchanger
group9385-4, GCN5-related N-acetyltransferase
group8815, hypothetical protein
group7235-2, cyclic nucleotide-binding protein
group7784-2, putative addiction module antidote protein%2C CopG/Arc/MetJ family
group8811, hypothetical protein
group7852, Aldehyde Dehydrogenase
group7853, xylose isomerase
group7850, DNA polymerase IV
group7851, xanthine dehydrogenase
group7856, serine recombinase
group7857, conjugal transfer protein TrbI
group7854, hypothetical protein
group7855, hypothetical protein
group7858, transcriptional regulator%2C LuxR family
group7859, hypothetical protein
group2783, cupin
group2782, hypothetical protein
group939, nitrilotriacetate monooxygenase protein%2C component A
group938, LacI family transcriptional regulator
group937, oxidoreductase domain protein
group936, Xylose isomerase domain protein TIM barrel
group935, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group934, transcriptional regulator%2C LacI family
group933, periplasmic binding protein/LacI transcriptional regulator
group932, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group931, inner-membrane translocator
group930, aryldialkylphosphatase
group5768-3, P-type conjugative transfer protein TrbG
group5768-2, P-type conjugative transfer protein TrbG
group14801, transposase IS110 family protein
group11667, hypothetical protein
group5733-2, Nucleotidyl transferase
group11665, Exonuclease RNase T and DNA polymerase III
group11664, hypothetical protein
group11663, hypothetical protein
group11662, transcriptional regulator%2C winged helix family
group11661, transcriptional regulator%2C winged helix family
group5733-4, Nucleotidyl transferase
group11669, NADH:flavin oxidoreductase/NADH oxidase
group11668, MFS transporter
group2989, phosphofructokinase
group2988, heat shock protein DnaJ domain protein
group2983, cell division protein MraZ
group2982, S-adenosyl-methyltransferase MraW
group2981, hypothetical protein
group2980, Peptidoglycan glycosyltransferase
group2987, N-acetylmuramyl-L-alanine amidase%2C negative regulator of AmpC%2C AmpD
group2986, Lytic transglycosylase catalytic
group2985, FAD dependent oxidoreductase
group2984, FAD dependent oxidoreductase
group4778, CDP-glucose 4%2C6-dehydratase
group4779, glucose-1-phosphate cytidylyltransferase
group4772, acetyltransferase
group4773, Cephalosporin hydroxylase
group4770, lipopolysaccharide biosynthesis protein
group4771, hypothetical protein
group4776, dTDP-4-dehydrorhamnose 3%2C5-epimerase
group4777, C-methyltransferase
group4774, Glutamine--scyllo-inositol transaminase
group4775, glycosyl transferase family 2
group1188, hypothetical protein
group1189, Oligopeptidase B
group1186, homocysteine S-methyltransferase
group1187, transcriptional regulator%2C TetR family
group8675, hypothetical protein
group1185, major facilitator transporter
group8673, transcriptional regulator%2C IclR family
group8672, sorbitol dehydrogenase
group1180, hypothetical protein
group8670, MmgE/PrpD family protein
group10134, hypothetical protein
group10135, hypothetical protein
group10136, ErfK/YbiS/YcfS/YnhG family protein
group10137, hypothetical protein
group10130, hypothetical protein
group10131, hypothetical protein
group10132, hypothetical protein
group10133, hypothetical protein
group10138, hypothetical protein
group10139, hypothetical protein
group7105-2, hypothetical protein
group7583-2, transposase IS66
group9078, hypothetical protein
group9079, hypothetical protein
group9076, hypothetical protein
group9077, hypothetical protein
group9074, Deoxyguanosinetriphosphate triphosphohydrolase
group9075, Serine/threonine-protein kinase PknD
group9072, hypothetical protein
group9073, hypothetical protein
group9070, hypothetical protein
group9071, hypothetical protein
group1728, hypothetical protein
group1729, acetate kinase
group1722, transcriptional regulator%2C Crp/Fnr family
group1723, two component transcriptional regulator%2C winged helix family
group1720, OsmY domain-containing protein
group1721, histidine kinase
group1726, OsmY domain-containing protein
group1727, Ribonuclease
group1724, hypothetical protein
group1725, molecular chaperone Hsp20
group1548, NADH dehydrogenase I%2C D subunit
group3760, signal transduction histidine kinase
group3761, hypothetical protein
group3762, NAD(P)(+) transhydrogenase (AB-specific)
group3763, NAD(P)(+) transhydrogenase (AB-specific) protein%2C alpha subunit
group3764, alanine dehydrogenase/PNT domain protein
group3765, aa3 type cytochrome c oxidase subunit IV
group3766, hypothetical protein
group3767, diguanylate cyclase/phosphodiesterase with PAS/PAC sensor(s)
group3768, C4-dicarboxylate ABC transporter
group3769, TRAP dicarboxylate transporter%2C DctM subunit
group698, membrane protein
group699, transcriptional regulator%2C LuxR family
group692, Integrase catalytic region
group693, transcriptional regulator%2C TetR family
group690, Secreted repeat of unknown function
group10504-3, hypothetical protein
group696, plasmid stabilization protein
group697, prevent-host-death protein
group694, hypothetical protein
group695, hypothetical protein
group16479, LacI family transcriptional regulator
group16478, Monosaccharide-transporting ATPase
group16473, PAS fold-3 domain protein
group16472, diguanylate cyclase
group16471, NAD-dependent epimerase/dehydratase
group16470, transcriptional regulator%2C MarR family
group16477, Arylsulfatase
group16476, hypothetical protein
group16475, hypothetical protein
group16474, beta-lactamase domain protein
group9698, hypothetical protein
group9699, hypothetical protein
group9692, hypothetical protein
group9693, hypothetical protein
group9690, Methyltransferase type 11
group9691, hypothetical protein
group9696, hypothetical protein
group9697, hypothetical protein
group9694, hypothetical protein
group9695, hypothetical protein
group5736-2, Asparagine synthetase [glutamine-hydrolyzing] 1
group5736-3, Asparagine synthetase [glutamine-hydrolyzing] 1
group5736-4, Asparagine synthetase [glutamine-hydrolyzing] 1
group6815-3, XRE family transcriptional regulator
group6848, glycoside hydrolase family 37
group6849, extracellular solute-binding protein family 1
group6842, N-carbamoylsarcosine amidase
group6843, Asp/Glu/hydantoin racemase
group6840, transcriptional regulator%2C MarR family
group6841, hypothetical protein
group6846, hypothetical protein
group6847, hypothetical protein
group6844, alpha/beta hydrolase fold protein
group6845, monooxygenase FAD-binding protein
group12886, PAS/PAC sensor signal transduction histidine kinase
group12887, hypothetical protein
group12884, response regulator receiver protein
group12885, hypothetical protein
group12882, hypothetical protein
group12883, transcriptional regulator%2C AraC family
group12880, PAS/PAC sensor signal transduction histidine kinase
group12881, response regulator receiver protein
group12888, multi-sensor signal transduction multi-kinase
group12889, hypothetical protein
group10956, hydrolase
group10957, hypothetical protein
group15359, transposase
group15358, tyrosine recombinase XerC
group10952, transcriptional regulator%2C HxlR family
group10953, transposase IS66
group10950, hypothetical protein
group10951, amino acid adenylation domain protein
group15353, hypothetical protein
