group7136-2, chromosome-01
group16206, chromosome-00
group16207, chromosome-00
group21156, chromosome-01
group5737-3, fragment
group5737-2, fragment
group11964, plasmid-Rh05
group11965, plasmid-Rh04
group11966, chromosome-01
group11967, chromosome-00
group11960, fragment
group11961, fragment
group11962, fragment
group11963, fragment
group331, chromosome-01
group330, chromosome-01
group333, chromosome-01
group332, chromosome-01
group335, chromosome-01
group334, chromosome-01
group337, chromosome-01
group336, chromosome-01
group6499, chromosome-01
group338, chromosome-01
group7720, fragment
group7721, fragment
group7722, chromosome-00
group7723, chromosome-00
group7724, fragment
group7725, fragment
group7726, plasmid-Rh01
group17295, fragment
group7728, fragment
group7729, fragment
group10244, chromosome-03
group12641-2, plasmid-Rh02
group10245, chromosome-03
group10242, chromosome-01
group10243, chromosome-03
group12439, fragment
group12438, chromosome-00
group17292, fragment
group12433, chromosome-00
group12432, plasmid-Rh03
group12431, fragment
group10241, chromosome-01
group12437, chromosome-01
group12436, fragment
group12435, fragment
group12434, fragment
group14879, chromosome-01
group14878, chromosome-01
group14875, fragment
group14874, plasmid-Rh01
group14877, chromosome-02
group14876, chromosome-01
group14871, chromosome-05
group14870, chromosome-00
group14873, fragment
group14872, plasmid-Rh04
group9826-2, fragment
group8202, fragment
group8203, plasmid-Rh01
group8200, chromosome-00
group5637, plasmid-Rh02
group5630, plasmid-Rh02
group5631, plasmid-Rh02
group8204, plasmid-Rh01
group8205, plasmid-Rh01
group8844, fragment
group8845, fragment
group8846, fragment
group8847, fragment
group8840, fragment
group8841, plasmid-Rh02
group8842, fragment
group8843, fragment
group8848, fragment
group8849, fragment
group13423, chromosome-04
group13422, chromosome-00
group13421, chromosome-01
group13420, chromosome-01
group13427, chromosome-05
group13426, chromosome-05
group13425, chromosome-05
group13424, chromosome-08
group13429, plasmid-Rh03
group13428, fragment
group7160-3, fragment
group4123, chromosome-00
group4122, chromosome-00
group4121, chromosome-00
group4120, chromosome-00
group4127, chromosome-00
group4126, chromosome-00
group4125, chromosome-00
group4124, chromosome-00
group4129, chromosome-00
group4128, chromosome-00
group1573, chromosome-01
group1572, chromosome-01
group1571, chromosome-01
group1570, chromosome-01
group1577, chromosome-01
group1576, chromosome-01
group1575, chromosome-01
group5655, plasmid-Rh02
group1579, chromosome-01
group1578, chromosome-01
group9685-3, chromosome-04
group3912-2, fragment
group8156, fragment
group8157, plasmid-Rh08
group8154, fragment
group8155, plasmid-Rh04-circ
group8152, plasmid-Rh08
group8153, plasmid-Rh08
group18378, fragment
group8151, plasmid-Rh08
group18376, fragment
group18377, fragment
group18374, fragment
group18375, fragment
group18372, fragment
group18373, fragment
group18370, plasmid-Rh03-circula
group18371, plasmid-Rh03-circula
group5944, fragment
group15888, chromosome-01
group2002, chromosome-01
group2003, chromosome-01
group2000, chromosome-01
group2001, chromosome-01
group2006, chromosome-01
group2007, chromosome-01
group2004, chromosome-01
group2005, chromosome-01
group2008, chromosome-01
group2009, chromosome-01
group15328, plasmid-Rh01
group10942, fragment
group5388, plasmid-Rh02
group5389, plasmid-Rh02
group15885, chromosome-04
group5380, plasmid-Rh02
group5381, plasmid-Rh02
group5382, plasmid-Rh02
group5383, plasmid-Rh02
group5384, plasmid-Rh02
group5385, plasmid-Rh02
group5386, plasmid-Rh02
group5387, plasmid-Rh02
group10949, chromosome-01
group10948, fragment
group9403, chromosome-02
group9402, plasmid-Rh02
group9401, fragment
group9400, chromosome-00
group9407, chromosome-05
group9406, chromosome-02
group9405, chromosome-01
group9404, chromosome-01
group9409, chromosome-01
group9408, chromosome-04
group14750, fragment
group11503, chromosome-00
group11500, chromosome-00
group11501, chromosome-00
group11506, chromosome-00
group14755, fragment
group11504, chromosome-00
group13539, chromosome-01
group14757, fragment
group13538, chromosome-01
group19964, chromosome-04
group19965, chromosome-01
group19966, chromosome-07
group19967, chromosome-13
group19960, chromosome-12
group19961, fragment
group19962, chromosome-04
group19963, chromosome-04
group7440-3, fragment
group19968, chromosome-13
group19969, chromosome-13
group9564, fragment
group13534, fragment
group13537, plasmid-Rh03
group9567, plasmid-Rh05
group20979, plasmid-Rh03
group20978, chromosome-04
group20977, plasmid-Rh02
group9560, fragment
group20975, plasmid-Rh02
group20974, plasmid-Rh03
group20973, chromosome-01
group20972, fragment
group20971, chromosome-04
group20970, chromosome-06
group3069, chromosome-00
group3068, chromosome-00
group13533, plasmid-Rh04
group3063, chromosome-00
group3062, chromosome-00
group3061, chromosome-00
group3060, chromosome-00
group3067, chromosome-00
group3066, chromosome-00
group3065, chromosome-00
group3064, chromosome-00
group6653, plasmid-Rh03
group6652, plasmid-Rh03
group6651, fragment
group6650, plasmid-Rh03
group6657, fragment
group6656, fragment
group6655, fragment
group6654, fragment
group6659, plasmid-Rh04
group6658, plasmid-Rh04
group7522, fragment
group7523, fragment
group7520, fragment
group7521, fragment
group7526, fragment
group7527, fragment
group7524, fragment
group7525, fragment
group7528, fragment
group7529, fragment
group17485, fragment
group17484, fragment
group17487, fragment
group17486, fragment
group17481, fragment
group17480, fragment
group17483, fragment
group17482, fragment
group1968, chromosome-01
group1969, chromosome-01
group1960, chromosome-01
group1961, chromosome-01
group1962, chromosome-01
group1963, chromosome-01
group1964, chromosome-01
group1965, chromosome-01
group1966, chromosome-01
group1967, chromosome-01
group4248, chromosome-00
group4249, chromosome-00
group4242, chromosome-00
group4243, chromosome-00
group4240, chromosome-00
group4241, chromosome-00
group4246, chromosome-00
group4247, chromosome-00
group4244, chromosome-00
group4245, chromosome-00
group11753, fragment
group11752, fragment
group11751, fragment
group11750, fragment
group11757, fragment
group14504, fragment
group11755, fragment
group11754, fragment
group14509, fragment
group14508, fragment
group11759, fragment
group11758, fragment
group19106, chromosome-05
group19107, chromosome-05
group19104, chromosome-03
group19105, chromosome-03
group19102, fragment
group19103, fragment
group19100, chromosome-04
group19101, fragment
group19108, chromosome-06
group19109, chromosome-12
group8299, fragment
group8298, fragment
group1038, chromosome-01
group1039, chromosome-01
group1032, chromosome-01
group1033, chromosome-01
group1030, chromosome-01
group1031, chromosome-01
group1036, chromosome-01
group1037, chromosome-01
group1034, chromosome-01
group1035, chromosome-01
group511, chromosome-01
group510, chromosome-01
group513, chromosome-01
group512, chromosome-01
group515, chromosome-01
group514, chromosome-01
group517, chromosome-01
group516, chromosome-01
group519, chromosome-01
group518, chromosome-01
group1520, chromosome-01
group4515-2, plasmid-Rh01-circula
group1521, chromosome-01
group8293, chromosome-00
group8292, fragment
group8295, fragment
group1525, chromosome-01
group1526, chromosome-01
group1527, chromosome-01
group16909, plasmid-Rh08
group16908, fragment
group16903, plasmid-Rh13
group16902, plasmid-Rh13
group16901, plasmid-Rh13
group16900, plasmid-Rh13
group16907, fragment
group16906, fragment
group16905, plasmid-Rh13
group16904, plasmid-Rh13
group17368, chromosome-04
group17369, chromosome-04
group17360, fragment
group17361, chromosome-07
group17362, chromosome-01
group17363, chromosome-00
group17364, fragment
group17365, plasmid-Rh05
group17366, fragment
group17367, chromosome-01
group20506, fragment
group20507, fragment
group20504, fragment
group20505, fragment
group20502, chromosome-05
group20503, fragment
group20500, chromosome-05
group20501, chromosome-05
group20508, fragment
group20509, fragment
group14379, fragment
group9368, chromosome-05
group9369, chromosome-04
group9362, fragment
group9363, chromosome-01
group9360, chromosome-03
group9361, chromosome-12
group9366, fragment
group9367, fragment
group9364, chromosome-27
group9365, plasmid-Rh04
group6358, fragment
group6359, fragment
group6352, fragment
group6353, fragment
group6350, fragment
group6351, fragment
group6356, fragment
group6357, plasmid-Rh07
group6354, fragment
group6355, plasmid-Rh07
group16019, chromosome-01
group16018, chromosome-01
group16011, chromosome-01
group16010, chromosome-01
group16013, chromosome-01
group16012, chromosome-01
group16015, chromosome-01
group16014, chromosome-01
group16017, chromosome-01
group16016, chromosome-01
group13621, fragment
group13620, fragment
group13623, fragment
group13622, fragment
group13625, fragment
group13624, fragment
group13627, fragment
group13626, fragment
group13629, chromosome-05
group13628, fragment
group15669, fragment
group15668, plasmid-Rh06
group15663, plasmid-Rh06
group15662, plasmid-Rh06
group15661, plasmid-Rh06
group15660, plasmid-Rh06
group15667, plasmid-Rh06
group15666, plasmid-Rh06
group15665, plasmid-Rh06
group15664, plasmid-Rh06
group13999, plasmid-Rh01+Rh03
group13998, plasmid-Rh03
group13993, chromosome-04
group13992, chromosome-04
group13991, chromosome-01
group13990, chromosome-04
group13997, chromosome-00
group13996, chromosome-00
group13995, chromosome-01
group13994, chromosome-04
group15599, chromosome-02
group15598, chromosome-02
group15595, chromosome-06
group15594, chromosome-01
group15597, fragment
group15596, plasmid-Rh02-circula
group15591, chromosome-01
group15590, chromosome-01
group15593, chromosome-04
group15592, fragment
group17415, plasmid-Rh03
group5145, plasmid-Rh01
group13681-3, fragment
group17419, plasmid-Rh03
group7223-2, plasmid-Rh02
group4088, chromosome-00
group4089, chromosome-00
group4084, chromosome-00
group4085, chromosome-00
group4086, chromosome-00
group4087, chromosome-00
group4080, chromosome-00
group4081, chromosome-00
group4082, chromosome-00
group4083, chromosome-00
group19744, chromosome-00
group19745, chromosome-06
group19746, chromosome-06
group19747, chromosome-01
group19740, chromosome-31
group19741, plasmid-Rh12
group19742, chromosome-13
group19743, chromosome-04
group19748, chromosome-10
group19749, chromosome-06
group2903, chromosome-00
group2902, chromosome-00
group2901, chromosome-00
group2900, chromosome-00
group2907, chromosome-00
group2906, chromosome-00
group2905, chromosome-00
group2904, chromosome-00
group2909, chromosome-00
group2908, chromosome-00
group5025, plasmid-Rh01
group5024, plasmid-Rh01
group5027, plasmid-Rh01
group5026, plasmid-Rh01
group5021, plasmid-Rh01
group5020, plasmid-Rh01
group5023, plasmid-Rh01
group5022, plasmid-Rh01
group5029, plasmid-Rh01
group5028, plasmid-Rh01
group8880, plasmid-Rh01
group8881, plasmid-Rh02
group8882, fragment
group8883, chromosome-11
group8884, chromosome-02
group8885, chromosome-05
group8886, fragment
group8887, chromosome-00
group4467, chromosome-00
group612, chromosome-01
group613, chromosome-01
group610, chromosome-01
group611, chromosome-01
group616, chromosome-01
group617, chromosome-01
group614, chromosome-01
group615, chromosome-01
group618, chromosome-01
group619, chromosome-01
group2383, chromosome-01
group20344, fragment
group20345, fragment
group20346, fragment
group20347, fragment
group20340, fragment
group20341, fragment
group20342, fragment
group20343, fragment
group20348, fragment
group20349, fragment
group17050, chromosome-05
group11325, plasmid-Rh03
group2275, chromosome-01
group2274, chromosome-01
group2277, chromosome-01
group2276, chromosome-01
group2271, chromosome-01
group2270, chromosome-01
group2273, chromosome-01
group2272, chromosome-01
group2279, chromosome-01
group2278, chromosome-01
group6598, plasmid-Rh01
group6599, plasmid-Rh01
group6594, plasmid-Rh01
group6595, plasmid-Rh01
group6596, plasmid-Rh01
group6597, plasmid-Rh01
group6590, plasmid-Rh01
group6591, plasmid-Rh01
group6592, plasmid-Rh01
group6593, plasmid-Rh01
group9612, plasmid-Rh01-circula
group9613, chromosome-23
group9610, fragment
group9611, fragment
group9616, chromosome-01
group9617, chromosome-01
group9614, fragment
group9615, plasmid-Rh01
group9618, fragment
group9619, fragment
group20838, plasmid-Rh03-circul
group20839, plasmid-Rh03-circul
group20832, chromosome-04
group20833, chromosome-23
group20830, chromosome-04
group20831, chromosome-04
group20836, plasmid-Rh03-circul
group20837, plasmid-Rh03-circul
group20834, chromosome-44
group20835, chromosome-10
group7039-2, chromosome-01
group21129, chromosome-24
group21128, fragment
group21127, plasmid-Rh04
group21126, chromosome-18
group21125, chromosome-01
group21124, chromosome-01
group21123, chromosome-01
group21122, chromosome-01
group21121, chromosome-01
group21120, chromosome-01
group3916-2, fragment
group18868, chromosome-00
group18869, chromosome-00
group12808, fragment
group12809, chromosome-18
group18862, chromosome-03
group12807, fragment
group18860, chromosome-02
group18861, chromosome-08
group18866, chromosome-00
group18867, chromosome-00
group12800, plasmid-Rh02-circ
group12801, plasmid-Rh01-circula
group18518, chromosome-01
group18519, chromosome-01
group6450-2, chromosome-12
group11201-2, fragment
group18510, chromosome-00
group18511, chromosome-00
group11384, plasmid-Rh05
group11385, plasmid-Rh07
group11386, fragment
group11387, fragment
group11380, fragment
group11381, fragment
group11382, chromosome-00
group11383, fragment
group11388, plasmid-Rh02
group11389, fragment
group8896, plasmid-Rh01
group5920, fragment
group17970, chromosome-00
group5922, fragment
group17972, chromosome-01
group5924, fragment
group5925, fragment
group5926, fragment
group5927, fragment
group5928, fragment
